iter	Passed	Remaining
0	392	392330
1	675	337297
2	950	315935
3	1278	318330
4	1604	319231
5	1849	306359
6	2118	300584
7	2365	293310
8	2612	287640
9	2900	287159
10	3193	287117
11	3459	284829
12	3695	280562
13	3973	279833
14	4212	276638
15	4499	276710
16	4726	273282
17	4975	271434
18	5222	269649
19	5461	267620
20	5765	268779
21	6034	268264
22	6285	266978
23	6577	267484
24	6835	266573
25	7109	266350
26	7372	265695
27	7630	264883
28	7890	264185
29	8145	263377
30	8420	263218
31	8766	265182
32	9059	265464
33	9312	264590
34	9574	263976
35	9866	264205
36	10140	263935
37	10450	264558
38	10712	263969
39	10965	263168
40	11261	263399
41	11502	262357
42	11770	261964
43	12024	261250
44	12311	261277
45	12596	261246
46	12889	261358
47	13161	261040
48	13391	259910
49	13617	258740
50	13882	258317
51	14169	258324
52	14468	258522
53	14710	257713
54	15011	257923
55	15254	257141
56	15521	256787
57	15819	256935
58	16111	256959
59	16369	256462
60	16650	256303
61	16974	256807
62	17302	257338
63	17606	257497
64	17865	256986
65	18106	256233
66	18421	256520
67	18685	256095
68	18923	255330
69	19224	255407
70	19607	256553
71	19870	256104
72	20136	255712
73	20440	255777
74	20764	256097
75	21072	256197
76	21323	255608
77	21660	256042
78	21905	255383
79	22200	255310
80	22470	254940
81	22770	254922
82	23036	254510
83	23293	254014
84	23549	253505
85	23813	253092
86	24059	252481
87	24283	251666
88	24572	251519
89	24844	251204
90	25092	250650
91	25391	250598
92	25703	250679
93	25985	250456
94	26321	250742
95	26575	250252
96	26873	250177
97	27149	249890
98	27479	250094
99	27740	249660
100	27983	249084
101	28266	248858
102	28566	248774
103	28896	248950
104	29203	248927
105	29514	248923
106	29761	248383
107	30013	247893
108	30280	247523
109	30581	247435
110	30854	247110
111	31106	246632
112	31432	246733
113	31707	246425
114	32019	246408
115	32384	246795
116	32656	246455
117	32943	246235
118	33227	245997
119	33497	245648
120	33778	245382
121	34012	244777
122	34297	244541
123	34542	244027
124	34832	243827
